,model,fit,predict,file
PCA,PCA,0.047348499298095,,./result\result100000.txt
NMF,NMF,0.471059083938598,,./result\result100000.txt
NearestNeighbors,NearestNeighbors,0.28397083282470703,,./result\result100000.txt
LinearRegression,LinearRegression,0.954802274703979,0.0942063331604,./result\result1000000.txt
Ridge,Ridge,0.22007298469543402,0.095776557922363,./result\result1000000.txt
Lasso,Lasso,45.670621395111084,0.063019514083862,./result\result1000000.txt
BayesianRidge,BayesianRidge,1.005750656127929,0.09383296966552701,./result\result1000000.txt
DecisionTreeRegressor,DecisionTreeRegressor,4.458434820175171,0.141509056091308,./result\result1000000.txt
RandomForestRegressor,RandomForestRegressor,393.592515707016,6.137929201126099,./result\result1000000.txt
GradientBoostingRegressor,GradientBoostingRegressor,247.42941212654114,1.4936521053314211,./result\result1000000.txt
KNeighborsRegressor,KNeighborsRegressor,5.446542501449585,47.99113059043884,./result\result1000000.txt
LGBMRegressor,LGBMRegressor,4.411425352096558,2.010239839553833,./result\result1000000.txt
XGBRegressor,XGBRegressor,61.48922538757324,1.192957162857055,./result\result1000000.txt
CatBoostRegressor,CatBoostRegressor,102.07039761543274,0.5180671215057371,./result\result1000000.txt
KMeans,KMeans,7.601438760757446,0.15668773651123002,./result\result1000000.txt
GaussianMixture,GaussianMixture,2.26122236251831,0.39216113090515103,./result\result1000000.txt
DBSCAN,DBSCAN,69.17089986801147,,./result\result1000000.txt
PCA,PCA,0.7383873462677001,,./result\result1000000.txt
NMF,NMF,5.746892690658569,,./result\result1000000.txt
NearestNeighbors,NearestNeighbors,5.315935611724853,,./result\result1000000.txt
LinearRegression,LinearRegression,12.431000471115112,0.7558426856994621,./result\result10000000.txt
Ridge,Ridge,1.775762557983398,0.6433801651000971,./result\result10000000.txt
BayesianRidge,BayesianRidge,8.530691385269165,0.6437189579010011,./result\result10000000.txt
DecisionTreeRegressor,DecisionTreeRegressor,72.36876630783081,1.138750076293945,./result\result10000000.txt
LGBMRegressor,LGBMRegressor,47.464256286621094,18.746964693069458,./result\result10000000.txt
XGBRegressor,XGBRegressor,117.37206554412842,11.471988916397095,./result\result10000000.txt
KMeans,KMeans,72.36066198348999,1.256242752075195,./result\result10000000.txt
GaussianMixture,GaussianMixture,26.041038751602173,3.871908187866211,./result\result10000000.txt
PCA,PCA,8.904978513717651,,./result\result10000000.txt
NMF,NMF,76.47593212127686,,./result\result10000000.txt
NearestNeighbors,NearestNeighbors,84.19675087928772,,./result\result10000000.txt
